time	V(n009)	V(n010)	Ic(Q5)	Ic(Q6)	Ic(Q11)	Ic(Q12)
0.000000000000000e+00	1.502770e+01	1.502844e+01	-4.527815e-03	4.223154e-03	-4.554136e-03	4.188047e-03
1.364285714286472e-06	1.512088e+01	1.502949e+01	-4.524007e-03	4.226577e-03	-4.554133e-03	4.188052e-03
2.728571428572944e-06	1.521403e+01	1.503054e+01	-4.520202e-03	4.229998e-03	-4.554130e-03	4.188056e-03
4.092857142859416e-06	1.530716e+01	1.503158e+01	-4.516399e-03	4.233416e-03	-4.554128e-03	4.188061e-03
5.457142857145888e-06	1.540027e+01	1.503263e+01	-4.512598e-03	4.236830e-03	-4.554125e-03	4.188066e-03
6.821428571432360e-06	1.549335e+01	1.503368e+01	-4.508801e-03	4.240242e-03	-4.554123e-03	4.188071e-03
8.185714285718831e-06	1.558641e+01	1.503473e+01	-4.505005e-03	4.243651e-03	-4.554121e-03	4.188076e-03
9.550000000005301e-06	1.567945e+01	1.503578e+01	-4.501213e-03	4.247057e-03	-4.554118e-03	4.188081e-03
1.396428571429352e-05	1.598063e+01	1.503918e+01	-4.488947e-03	4.258071e-03	-4.554112e-03	4.188099e-03
1.837857142858173e-05	1.628051e+01	1.504256e+01	-4.476752e-03	4.269015e-03	-4.554105e-03	4.188117e-03
2.279285714286995e-05	1.657908e+01	1.504592e+01	-4.464629e-03	4.279892e-03	-4.554100e-03	4.188136e-03
2.720714285715817e-05	1.687636e+01	1.504927e+01	-4.452576e-03	4.290699e-03	-4.554095e-03	4.188156e-03
3.162142857144639e-05	1.717234e+01	1.505259e+01	-4.440595e-03	4.301438e-03	-4.554090e-03	4.188177e-03
3.603571428573460e-05	1.746701e+01	1.505589e+01	-4.428684e-03	4.312108e-03	-4.554086e-03	4.188199e-03
4.045000000002280e-05	1.776039e+01	1.505917e+01	-4.416845e-03	4.322710e-03	-4.554082e-03	4.188222e-03
4.416428571431062e-05	1.800547e+01	1.506190e+01	-4.406969e-03	4.331550e-03	-4.554079e-03	4.188242e-03
4.787857142859844e-05	1.824861e+01	1.506461e+01	-4.397187e-03	4.340303e-03	-4.554077e-03	4.188263e-03
5.159285714288626e-05	1.848980e+01	1.506728e+01	-4.387497e-03	4.348971e-03	-4.554074e-03	4.188284e-03
5.530714285717408e-05	1.872905e+01	1.506993e+01	-4.377900e-03	4.357552e-03	-4.554072e-03	4.188305e-03
5.902142857146190e-05	1.896634e+01	1.507255e+01	-4.368395e-03	4.366048e-03	-4.554070e-03	4.188328e-03
6.273571428574972e-05	1.920168e+01	1.507514e+01	-4.358984e-03	4.374457e-03	-4.554068e-03	4.188350e-03
6.645000000003753e-05	1.943508e+01	1.507771e+01	-4.349665e-03	4.382780e-03	-4.554066e-03	4.188374e-03
7.002142857146812e-05	1.965719e+01	1.508015e+01	-4.340812e-03	4.390686e-03	-4.554065e-03	4.188397e-03
7.359285714289871e-05	1.987669e+01	1.508256e+01	-4.332077e-03	4.398482e-03	-4.554064e-03	4.188420e-03
7.716428571432932e-05	2.009358e+01	1.508494e+01	-4.323462e-03	4.406171e-03	-4.554063e-03	4.188444e-03
8.073571428575991e-05	2.030785e+01	1.508730e+01	-4.314967e-03	4.413750e-03	-4.554062e-03	4.188468e-03
8.430714285719050e-05	2.051951e+01	1.508963e+01	-4.306591e-03	4.421222e-03	-4.554060e-03	4.188493e-03
8.787857142862110e-05	2.072856e+01	1.509193e+01	-4.298334e-03	4.428584e-03	-4.554059e-03	4.188519e-03
9.145000000005169e-05	2.093499e+01	1.509421e+01	-4.290197e-03	4.435839e-03	-4.554058e-03	4.188545e-03
9.297857142862399e-05	2.102234e+01	1.509517e+01	-4.286759e-03	4.438903e-03	-4.554058e-03	4.188556e-03
9.450714285719628e-05	2.110911e+01	1.509613e+01	-4.283347e-03	4.441944e-03	-4.554058e-03	4.188567e-03
9.603571428576858e-05	2.119531e+01	1.509709e+01	-4.279962e-03	4.444962e-03	-4.554057e-03	4.188578e-03
9.756428571434087e-05	2.128093e+01	1.509804e+01	-4.276602e-03	4.447956e-03	-4.554057e-03	4.188589e-03
9.909285714291316e-05	2.136597e+01	1.509898e+01	-4.273268e-03	4.450927e-03	-4.554057e-03	4.188601e-03
1.006214285714855e-04	2.145044e+01	1.509993e+01	-4.269960e-03	4.453875e-03	-4.554056e-03	4.188612e-03
1.021500000000578e-04	2.153433e+01	1.510086e+01	-4.266678e-03	4.456799e-03	-4.554056e-03	4.188624e-03
1.058071428572027e-04	2.173278e+01	1.510308e+01	-4.258928e-03	4.463704e-03	-4.554055e-03	4.188652e-03
1.094642857143476e-04	2.192742e+01	1.510527e+01	-4.251348e-03	4.470457e-03	-4.554055e-03	4.188681e-03
1.131214285714925e-04	2.211823e+01	1.510743e+01	-4.243939e-03	4.477059e-03	-4.554054e-03	4.188709e-03
1.167785714286375e-04	2.230523e+01	1.510956e+01	-4.236700e-03	4.483509e-03	-4.554054e-03	4.188738e-03
1.204357142857824e-04	2.248840e+01	1.511166e+01	-4.229632e-03	4.489807e-03	-4.554053e-03	4.188768e-03
1.240928571429273e-04	2.266775e+01	1.511373e+01	-4.222735e-03	4.495954e-03	-4.554053e-03	4.188798e-03
1.277500000000723e-04	2.284329e+01	1.511578e+01	-4.216009e-03	4.501949e-03	-4.554052e-03	4.188828e-03
1.315500000000744e-04	2.302126e+01	1.511787e+01	-4.209217e-03	4.508004e-03	-4.554052e-03	4.188859e-03
1.353500000000766e-04	2.319438e+01	1.511992e+01	-4.202640e-03	4.513871e-03	-4.554052e-03	4.188890e-03
1.391500000000787e-04	2.336268e+01	1.512194e+01	-4.196277e-03	4.519549e-03	-4.554051e-03	4.188922e-03
1.429500000000809e-04	2.352614e+01	1.512393e+01	-4.190130e-03	4.525040e-03	-4.554051e-03	4.188953e-03
1.467500000000830e-04	2.368476e+01	1.512587e+01	-4.184198e-03	4.530342e-03	-4.554051e-03	4.188985e-03
1.505500000000852e-04	2.383854e+01	1.512778e+01	-4.178480e-03	4.535456e-03	-4.554050e-03	4.189016e-03
1.543500000000873e-04	2.398749e+01	1.512966e+01	-4.172978e-03	4.540381e-03	-4.554050e-03	4.189048e-03
1.583214285715181e-04	2.413762e+01	1.513157e+01	-4.167474e-03	4.545315e-03	-4.554050e-03	4.189081e-03
1.622928571429490e-04	2.428182e+01	1.513344e+01	-4.162231e-03	4.550022e-03	-4.554050e-03	4.189113e-03
1.662642857143798e-04	2.442009e+01	1.513525e+01	-4.157251e-03	4.554500e-03	-4.554050e-03	4.189144e-03
1.702357142858106e-04	2.455243e+01	1.513701e+01	-4.152533e-03	4.558752e-03	-4.554049e-03	4.189175e-03
1.742071428572414e-04	2.467884e+01	1.513872e+01	-4.148078e-03	4.562775e-03	-4.554049e-03	4.189205e-03
1.781785714286723e-04	2.479932e+01	1.514037e+01	-4.143884e-03	4.566571e-03	-4.554049e-03	4.189235e-03
1.821500000001031e-04	2.491388e+01	1.514197e+01	-4.139953e-03	4.570139e-03	-4.554049e-03	4.189264e-03
1.853500000001049e-04	2.500160e+01	1.514321e+01	-4.136988e-03	4.572839e-03	-4.554049e-03	4.189286e-03
1.885500000001067e-04	2.508519e+01	1.514440e+01	-4.134203e-03	4.575382e-03	-4.554049e-03	4.189307e-03
1.917500000001085e-04	2.516467e+01	1.514555e+01	-4.131597e-03	4.577768e-03	-4.554049e-03	4.189327e-03
1.949500000001103e-04	2.524003e+01	1.514665e+01	-4.129171e-03	4.579996e-03	-4.554049e-03	4.189346e-03
1.981500000001121e-04	2.531126e+01	1.514770e+01	-4.126925e-03	4.582067e-03	-4.554049e-03	4.189364e-03
2.013500000001139e-04	2.537838e+01	1.514870e+01	-4.124859e-03	4.583982e-03	-4.554048e-03	4.189381e-03
2.045500000001158e-04	2.544138e+01	1.514965e+01	-4.122973e-03	4.585739e-03	-4.554048e-03	4.189397e-03
2.097642857144044e-04	2.553503e+01	1.515110e+01	-4.120295e-03	4.588259e-03	-4.554048e-03	4.189420e-03
2.149785714286931e-04	2.561734e+01	1.515237e+01	-4.118095e-03	4.590346e-03	-4.554048e-03	4.189439e-03
2.201928571429817e-04	2.568832e+01	1.515346e+01	-4.116374e-03	4.592000e-03	-4.554048e-03	4.189454e-03
2.254071428572704e-04	2.574797e+01	1.515438e+01	-4.115130e-03	4.593221e-03	-4.554048e-03	4.189464e-03
2.306214285715591e-04	2.579628e+01	1.515513e+01	-4.114364e-03	4.594010e-03	-4.554048e-03	4.189469e-03
2.358357142858478e-04	2.583326e+01	1.515570e+01	-4.114076e-03	4.594365e-03	-4.554048e-03	4.189470e-03
2.410500000001364e-04	2.585890e+01	1.515610e+01	-4.114266e-03	4.594287e-03	-4.554048e-03	4.189467e-03
2.473642857144257e-04	2.587456e+01	1.515628e+01	-4.115135e-03	4.593598e-03	-4.554048e-03	4.189455e-03
2.536785714287150e-04	2.587346e+01	1.515620e+01	-4.116666e-03	4.592278e-03	-4.554048e-03	4.189438e-03
2.599928571430043e-04	2.585559e+01	1.515584e+01	-4.118860e-03	4.590326e-03	-4.554048e-03	4.189415e-03
2.663071428572936e-04	2.582096e+01	1.515521e+01	-4.121717e-03	4.587744e-03	-4.554048e-03	4.189387e-03
2.726214285715829e-04	2.576957e+01	1.515430e+01	-4.125236e-03	4.584530e-03	-4.554048e-03	4.189354e-03
2.789357142858722e-04	2.570141e+01	1.515313e+01	-4.129418e-03	4.580685e-03	-4.554048e-03	4.189315e-03
2.852500000001615e-04	2.561649e+01	1.515168e+01	-4.134263e-03	4.576209e-03	-4.554049e-03	4.189271e-03
2.883500000001632e-04	2.556869e+01	1.515089e+01	-4.136867e-03	4.573790e-03	-4.554049e-03	4.189248e-03
